json,excel,category,score,method
Highway to hell,Highway to hell,OUI,1.0,exact
Hiking Trails,Hiking trails,OUI,1.0,exact
Hopeless,Hopeless,BIEN AUSSI,1.0,exact
I hate mountains 2,I hate mountains,OUI,0.941,fuzzy
Infected city,,NON TROUVÉE,,none
Infected town fixed,Infected town fixed,BIEN AUSSI,1.0,exact
Infection overdrive,Infection overdrive,BIEN AUSSI,1.0,exact
Inferno City,Inferno city,OUI,1.0,exact
Insurgency,Insurgency,OUI,1.0,exact
L4PT2,L4PT2,OUI,1.0,exact
Last breath,Last breath,OUI,1.0,exact
Last call,Last call,BIEN AUSSI,1.0,exact
Last night L4D2,Last night L4D2,OUI,1.0,exact
Last ride,Last ride,BIEN AUSSI,1.0,exact
Last summer,Last summer,OUI,1.0,exact
Left behind 2,Left behind 2,OUI,1.0,exact
Left for Duluth,Left for Duluth,BIEN AUSSI,1.0,exact
Lego 4 Dead (Fixed),Lego,BOF,0.91,fuzzy
Lego wonderlands,Lego wonderlands,OUI,1.0,exact
Let's build a rocket 2,Let's build a rocket 2,BIEN AUSSI,1.0,exact
Lima infection,Lima infection,BIEN AUSSI,1.0,exact
Lockdown,Lockdown,OUI,1.0,exact
Lockdown chapter 2,Lockdown chapter 2,OUI,1.0,exact
London calling,London calling,OUI,1.0,exact
Lord of the rings,Lord of the rings,BIEN AUSSI,1.0,exact
Lost,Lost,OUI,1.0,exact
Lost and damned,Lost and damned,OUI,1.0,exact
Lost in Linz 2,Lost in Linz 2,BIEN AUSSI,1.0,exact
Mall of the dead,Mall of the dead,BIEN AUSSI,1.0,exact
Marine Flying Color,Marine,NON,0.91,fuzzy
Mission Improbable,Mission improbable,OUI,1.0,exact
Money-survival bulding,Money-survival bulding,BIEN AUSSI,1.0,exact
Moscow,Moscow,OUI,1.0,exact
Napalm death,Napalm death,OUI,1.0,exact
Navigation,Navigation,OUI,1.0,exact
Neon Mirage Alley,Neon mirage alley,OUI,1.0,exact
Neon prime 2069,Neon prime 2069,OUI,1.0,exact
Never Ending War : Redux,Never ending war redux,POURQUOI PAS,1.0,exact
No continuity,No continuity,OUI,1.0,exact
No echo,No echo,BIEN AUSSI,1.0,exact
No mercy apocalypse 2024,No mercy apocalypse 2024,OUI,1.0,exact
North chaos,North chaos,OUI,1.0,exact
One 4 Nine,One 4 Nine,OUI,1.0,exact
Open road,Open road,BIEN AUSSI,1.0,exact
Our mutual fiend,Our mutual fiend,OUI,1.0,exact
Overkill,Overkill,BIEN AUSSI,1.0,exact
Pier pressure,Pier pressure,BIEN AUSSI,1.0,exact
Plan B,Plan B,OUI,1.0,exact
Pouring down the drain,Pouring down the drain,OUI,1.0,exact
Prague,Prague,BIEN AUSSI,1.0,exact
Prodeus requiem,Prodeus requiem,OUI,1.0,exact
Project auburn,Project auburn,OUI,1.0,exact
Qualia macabre normal,Qualia macabre normal,OUI,1.0,exact
Quedan 4x morir,Quedan 4x morir,OUI,1.0,exact
Real orange miracle,Real orange miracle,BIEN AUSSI,1.0,exact
Red city,Red city,BIEN AUSSI,1.0,exact
Red tide,Red tide,BIEN AUSSI,1.0,exact
Redemption II,Redemption II,OUI,1.0,exact
Riptide,Riptide,BIEN AUSSI,1.0,exact
Road kill,Road kill,BIEN AUSSI,1.0,exact
Road to nowhere I,Road to nowhere I,BIEN AUSSI,1.0,exact
Road to nowhere II,Road to nowhere II,BIEN AUSSI,1.0,exact
Road to ruin,Road to ruin,OUI,1.0,exact
Rocket escape,Rocket escape,OUI,1.0,exact
Schoollive,Schoollive,BIEN AUSSI,1.0,exact
Sleepless night,Sleepless night,POURQUOI PAS,1.0,exact
Snow den,Snow den,OUI,1.0,exact
Stormed city,Stormed city,OUI,1.0,exact
Suicide blitz 2,Suicide blitz 2,OUI,1.0,exact
Surrounded By The Dead,Surrounded by the dead 2,BIEN AUSSI,0.957,fuzzy
Sweet Budapest,Sweet Budapest,BIEN AUSSI,1.0,exact
Tank yard,Tank yard,OUI,1.0,exact
The arrival,The arrival,OUI,1.0,exact
The bloody moors,The bloody moors,OUI,1.0,exact
The grave outdoors,The grave outdoors,OUI,1.0,exact
The hazing,The hazing,OUI,1.0,exact
The last heaven,The last heaven,OUI,1.0,exact
The last volt,The last volt,BIEN AUSSI,1.0,exact
The tomb of terror,The tomb of terror,OUI,1.0,exact
Undead zone,Starship troopers in the undead zone,BOF,0.91,fuzzy
Tour of terror,Tour of terror,OUI,1.0,exact
Tropical Thunder,Tropical thunder,OUI,1.0,exact
Undead smackdown,Undead smackdown,OUI,1.0,exact
Unforgivable night,Unforgivable night,BIEN AUSSI,1.0,exact
Urban flight,Urban flight,OUI,1.0,exact
Urbanian hell,Urbanian hell,OUI,1.0,exact
Vienna calling 1,Vienna calling 1,BIEN AUSSI,1.0,exact
Vienna calling 2,Vienna calling 2,BIEN AUSSI,1.0,exact
View of hell,View of hell,OUI,1.0,exact
Vox aeterna,Vox aeterna,OUI,1.0,exact
Warcelona,Warcelona,OUI,1.0,exact
We don't go to Ravenholm 2,We don't go to Ravenholm 2,BIEN AUSSI,1.0,exact
Welcome to hell,Welcome to hell,OUI,1.0,exact
Whispers beyond the wind remake,,SUPPRIMÉE,1,demande utilisateur
Whispers of winter,Whispers of winter,OUI,1.0,exact
White forest,White forest,OUI,1.0,exact
Yama,Yama,BIEN AUSSI,1.0,exact
Z ptz,Z ptz,OUI,1.0,exact
ZMB 13,ZMB 13,OUI,1.0,exact
Zcity,Zcity,OUI,1.0,exact
Zengcheng v1.0,Zengcheng,POURQUOI PAS,0.91,fuzzy
Zero warning,Zero warning,BIEN AUSSI,1.0,exact
Taiyuan Yingze beta,,NON TROUVÉE,,none
The coaster,,NON TROUVÉE,,none
Paradise of doom,,NON TROUVÉE,,none
Earth crash,,NON TROUVÉE,,none
Tidal fever,,NON TROUVÉE,,none
Goodbye Nanning,Goodbye Nanning,OUI,1.0,exact
Nanning city,Nanning city,OUI,1.0,exact
